Timestamp,Email Address,Name,[DCA] Monday 3:25PM - 4:50PM,[DCA] Wednesday 3:25PM - 4:50PM,[Montera] Thursday 3:25PM - 5:40PM,[DeJean] Monday 2:40PM - 4:20PM,[DeJean] Wednesday 2:40PM - 4:20PM,[King] Tuesday 3:00PM - 4:30PM,[King] Thursday 3:00PM - 4:30PM,[Rudsdale] Tuesday 1:35PM - 3:30PM (Spanish section),[Rudsdale] Thursday 1:35PM - 3:30PM (Spanish section),[Rudsdale] Wednesday 10:30AM - 1:00PM (Spanish section),[Longfellow] Monday 4:00PM - 5:30PM,[Longfellow] Wednesday 2:00PM - 3:30PM,[SquashDrive] Thursday 3:55PM - 5:35PM,[John Henry] Tuesday 3:30PM - 5:30PM,[John Henry] Thursday 3:30PM - 5:30PM,Exec,CC,Driver,Site Leader,Spanish Speaking
2/7/2023 0:26:22,random_48@berkeley.edu,random_48,,3rd,,,4th,2nd,,,,,,5th,,1st,,False,False,False,False,False
2/7/2023 1:00:09,random_49@berkeley.edu,random_49,3rd,2nd,,,5th,,,,,,1st,,4th,,,False,True,False,False,False
2/7/2023 9:53:39,random_50@berkeley.edu,random_50,,,1st,,,,,,,,,,2nd,,3rd,False,False,False,['[Rudsdale] Wednesday 10:30AM - 1:00PM (Spanish section)'],False
2/7/2023 17:12:29,random_51@berkeley.edu,random_51,1st,3rd,,2nd,5th,,,,,,,,4th,,,False,False,False,False,False
2/7/2023 17:33:55,random_52@berkeley.edu,random_52,,,,,,1st,2nd,,,,,,3rd,4th,5th,False,False,False,False,False
2/7/2023 21:22:56,random_53@gmail.com,random_53,,,,5th,,4th,,1st,3rd,,,,,2nd,,False,False,False,False,True
2/8/2023 17:48:33,random_54@berkeley.edu,random_54,4th,,5th,1st,,,,,,,3rd,,,2nd,,False,False,False,"['[Longfellow] Monday 4:00PM - 5:30PM', '[Longfellow] Wednesday 2:00PM - 3:30PM']",False
2/8/2023 10:18:23,random_55@berkeley.edu,random_55,,1st,,,,,,,,,,,2nd,,,False,False,False,['[SquashDrive] Thursday 3:55PM - 5:35PM'],False
2/8/2023 16:03:07,random_56@berkeley.edu,random_56,4th,5th,,2nd,3rd,,,,,,,1st,,,,False,False,False,False,False
2/8/2023 16:35:55,random_57@berkeley.edu,random_57,,2nd,,,3rd,,5th,,1st,,,,,,4th,False,False,False,False,False
2/8/2023 21:24:54,random_58@berkeley.edu,random_58,,,,,,1st,,,,,,,,2nd,,False,False,False,"['[John Henry] Tuesday 3:30PM - 5:30PM', '[John Henry] Thursday 3:30PM - 5:30PM']",True
2/8/2023 21:53:56,random_59@berkeley.edu,random_59,,,4th,3rd,,,,,,1st,,,5th,,2nd,False,False,True,False,True
2/9/2023 2:21:56,random_60@berkeley.edu,random_60,5th,4th,,,,2nd,,,,,3rd,,,1st,,False,False,False,False,False
2/9/2023 18:28:59,random_61@berkeley.edu,random_61,4th,1st,,,,2nd,,,,,5th,,,3rd,,False,False,False,False,False
