,Timestamp,Email Address,Name :D,Please read the information above. Are you aware and do you agree with the site policies?,Have you confirmed being a site leader with Jacob or Fernanda?,"Rank your preferred site times (1st most preferred, 5th least) [[DCA] Monday 3:25PM - 4:50PM]","Rank your preferred site times (1st most preferred, 5th least) [[DCA] Wednesday 3:25PM - 4:50PM]","Rank your preferred site times (1st most preferred, 5th least) [[Montera] Thursday 3:25PM - 5:40PM]","Rank your preferred site times (1st most preferred, 5th least) [[DeJean] Monday 2:40PM - 4:20PM]","Rank your preferred site times (1st most preferred, 5th least) [[DeJean] Wednesday 2:40PM - 4:20PM]","Rank your preferred site times (1st most preferred, 5th least) [[King] Tuesday 3:00PM - 4:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[King] Thursday 3:00PM - 4:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[Rudsdale] Tuesday 1:35PM - 3:30PM (Spanish section)]","Rank your preferred site times (1st most preferred, 5th least) [[Rudsdale] Thursday 1:35PM - 3:30PM (Spanish section)]","Rank your preferred site times (1st most preferred, 5th least) [[Rudsdale] Wednesday 10:30AM - 1:00PM (Spanish section)]","Rank your preferred site times (1st most preferred, 5th least) [[Longfellow] Monday 4:00PM - 5:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[Longfellow] Wednesday 2:00PM - 3:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[SquashDrive] Thursday 3:55PM - 5:35PM]","Rank your preferred site times (1st most preferred, 5th least) [[John Henry] Tuesday 3:30PM - 5:30PM]","Rank your preferred site times (1st most preferred, 5th least) [[John Henry] Thursday 3:30PM - 5:30PM]","Rank your preferred site times (1st most preferred, 5th least) [None 1]","Rank your preferred site times (1st most preferred, 5th least) [None 2]","Rank your preferred site times (1st most preferred, 5th least) [None 3]","Rank your preferred site times (1st most preferred, 5th least) [None 4]","Rank your preferred site times (1st most preferred, 5th least) [None 5]",Is there any site in particular you want to be placed at?,Is there any site in particular you DO NOT want to be placed at?,Questions/Comments/Concerns? <33
16,1/21/2023 0:31:36,random_16@berkeley.edu,random_16,Yes,No/Don't Know,,,2nd,3rd,4th,,,,,,1st,,5th,,,,,,,,,King,
17,1/21/2023 13:15:40,random_17@berkeley.edu,random_17,Yes,No/Don't Know,,1st,,,2nd,,,,,,,3rd,,,,4th,5th,,,,DCA would be cool :),,
18,1/21/2023 14:19:32,random_18@berkeley.edu,random_18,Yes,No/Don't Know,4th,1st,5th,,,,,,,,3rd,2nd,,,,,,,,,,,
19,1/21/2023 16:08:59,random_19@berkeley.edu,random_19,Yes,No/Don't Know,3rd,4th,,1st,2nd,,,,,,5th,,,,,,,,,,Dejean !,,
20,1/21/2023 15:16:11,random_20@berkeley.edu,random_20,Yes,No/Don't Know,1st,4th,,2nd,3rd,,,,,,,,,,,,,,,,,LongFellow,
21,1/21/2023 15:38:58,random_21@berkeley.edu,random_21,Yes,No/Don't Know,,2nd,,,1st,,,,,,,3rd,,,,4th,5th,,,,,I'm not SUPER down to go back to dca (I just want a change of pace) but I'm ok with any of the 3 times I put down.,
22,1/21/2023 16:13:50,random_22@berkeley.edu,random_22,Yes,No/Don't Know,3rd,5th,,1st,2nd,,,,,,,,4th,,,,,,,,dejean!,,
23,1/21/2023 18:21:34,random_23@berkeley.edu,random_23,Yes,No/Don't Know,,,,,,3rd,,,,,2nd,,1st,,,4th,,,,,Squash Drive ,No,
24,1/21/2023 19:08:03,random_24@berkeley.edu,random_24,Yes,No/Don't Know,,,2nd,,5th,,1st,,,,,,3rd,,4th,,,,,,,,
25,1/21/2023 20:28:28,random_25@berkeley.edu,random_25,Yes,No/Don't Know,1st,2nd,5th,,,3rd,4th,,,,,,,,,,,,,,DCA,,
26,1/21/2023 20:36:58,random_26@berkeley.edu,random_26,Yes,No/Don't Know,,1st,,,3rd,,,,,,,2nd,,,,,,,4th,5th,,,
27,1/21/2023 23:12:17,random_27@berkeley.edu,random_27,Yes,No/Don't Know,,1st,,,,3rd,2nd,,,,,4th,,5th,,,,,,,,,
28,1/22/2023 0:05:24,random_28@berkeley.edu,random_28,Yes,No/Don't Know,,,,,,,,,,,,,1st,,2nd,,,3rd,4th,5th,,,
29,1/22/2023 0:10:17,random_29@berkeley.edu,random_29,Yes,No/Don't Know,1st,,,2nd,,,,,,,3rd,,,,,,,,4th,5th,,,
30,1/22/2023 11:36:02,random_30@berkeley.edu,random_30,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
31,1/22/2023 12:07:15,random_31@berkeley.edu,random_31,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
32,1/22/2023 12:18:19,random_32@berkeley.edu,random_32,Yes,No/Don't Know,,,,,,,,1st,2nd,,,,,,,,,,,,rudsdale :) ,,
33,1/22/2023 12:34:06,random_33@berkeley.edu,random_33,Yes,No/Don't Know,,,1st,,,,,,,,,,2nd,,3rd,4th,5th,,,,montera,dca and king,
34,1/22/2023 12:51:18,random_34@berkeley.edu,random_34,Yes,No/Don't Know,3rd,,,2nd,,,,,,,1st,,,,,,,,4th,5th,,,
35,1/22/2023 12:56:28,random_35@berkeley.edu,random_35,Yes,No/Don't Know,,3rd,,,2nd,,,,,,,1st,,,,4th,5th,,,,,,
36,1/22/2023 12:57:08,random_36@berkeley.edu,random_36,Yes,No/Don't Know,1st,,,3rd,,,,,,,2nd,,,,,4th,5th,,,,,,Thank you! And sorry for the late submission <3
37,1/22/2023 13:41:54,random_37@berkeley.edu,random_37,Yes,No/Don't Know,2nd,1st,,,3rd,,,,,,,4th,,,,5th,,,,,dc slay !,,
38,1/22/2023 15:33:01,random_38@berkeley.edu,random_38,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
39,1/22/2023 15:43:05,random_39@berkeley.edu,random_39,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,
40,1/22/2023 16:49:15,random_40@berkeley.edu,random_40,Yes,No/Don't Know,1st,,,2nd,,,,,,,3rd,,,,,,,,,,Ruds spanish section but I’m not available for any of the listed times :(,,
41,1/25/2023 16:08:01,random_41@berkeley.edu,random_41,Yes,No/Don't Know,4th,,1st,,,,3rd,,,,2nd,,,,,,,,,5th,,,
42,1/25/2023 17:24:54,random_42@berkeley.edu,random_42,Yes,No/Don't Know,,3rd,,,2nd,,,,,,,1st,,,,4th,5th,,,,,,
43,1/30/2023 16:47:50,random_43@berkeley.edu,random_43,Yes,No/Don't Know,1st,3rd,,,,,,,,,2nd,,4th,,,,,,,5th,DCA works best for my schedule,,Sorry I submitted late :///
44,2/6/2023 22:40:31,random_44@berkeley.edu,random_44,Yes,,1st,3rd,,,4th,,,,,,2nd,5th,,,,,,,,,,,nope
45,2/6/2023 23:40:40,random_45@berkeley.edu,random_45,Yes,,,4th,,,,3rd,,1st,,,5th,,2nd,,,,,,,,Spanish version instruction in Rudsdale,nope!,>_<
46,2/7/2023 0:12:25,random_46@berkeley.edu,random_46,Yes,,1st,,,3rd,,,,,,,2nd,4th,,,,,,,,5th,,,
47,2/7/2023 0:19:50,random_47@berkeley.edu,random_47,Yes,,,,2nd,,,,3rd,,1st,,,,4th,,5th,,,,,,,,
48,2/7/2023 0:26:22,random_48@berkeley.edu,random_48,Yes,,,3rd,,,4th,2nd,,,,,,5th,,1st,,,,,,,,,
49,2/7/2023 1:00:09,random_49@berkeley.edu,random_49,Yes,,3rd,2nd,,,5th,,,,,,1st,,4th,,,,,,,,,,
50,2/7/2023 9:53:39,random_50@berkeley.edu,random_50,Yes,,,,1st,,,,,,,,,,2nd,,3rd,4th,5th,,,,,,
51,2/7/2023 17:12:29,random_51@berkeley.edu,random_51,Yes,,1st,3rd,,2nd,5th,,,,,,,,4th,,,,,,,,,,
52,2/7/2023 17:33:55,random_52@berkeley.edu,random_52,Yes,,,,,,,1st,2nd,,,,,,3rd,4th,5th,,,,,,King,,
53,2/7/2023 21:22:56,random_53@gmail.com,random_53,Yes,,,,,5th,,4th,,1st,3rd,,,,,2nd,,,,,,,I'd like to be placed at any spanish section but anything goes ,"I can't do any site on Thursday that ends after 5 due to class time conflict ([Montera] Thursday 3:25PM - 5:40PM,[John Henry] Thursday 3:30PM - 5:30PM ",
54,2/8/2023 17:48:33,random_54@berkeley.edu,random_54,Yes,,4th,,5th,1st,,,,,,,3rd,,,2nd,,,,,,,,,
55,2/8/2023 10:18:23,random_55@berkeley.edu,random_55,Yes,,,1st,,,,,,,,,,,2nd,,,3rd,4th,5th,,,,,"I'm working out getting my exam prep section moved to another day. In that case,  [SquashDrive] Thursday 3:55PM - 5:35PM would work best for me. I can follow up if/when that is confirmed. "
56,2/8/2023 16:03:07,random_56@berkeley.edu,random_56,Yes,,4th,5th,,2nd,3rd,,,,,,,1st,,,,,,,,,,,
57,2/8/2023 16:35:55,random_57@berkeley.edu,random_57,Yes,,,2nd,,,3rd,,5th,,1st,,,,,,4th,,,,,,Rudsdale,,
58,2/8/2023 21:24:54,random_58@berkeley.edu,random_58,Yes,,,,,,,1st,,,,,,,,2nd,,3rd,4th,5th,,,,,
59,2/8/2023 21:53:56,random_59@berkeley.edu,random_59,Yes,,,,4th,3rd,,,,,,1st,,,5th,,2nd,,,,,,The Richmond sites I choose or the Spanish site are fine. ,I can not do any sites on Tuesdays. ,
60,2/9/2023 2:21:56,random_60@berkeley.edu,random_60,Yes,,5th,4th,,,,2nd,,,,,3rd,,,1st,,,,,,,,,
61,2/9/2023 18:28:59,random_61@berkeley.edu,random_61,Yes,,4th,1st,,,,2nd,,,,,5th,,,3rd,,,,,,,,,
